National Center for Education Statistics
"Number of full-time, first-time students receiving financial aid, by state and  type of aid: 2019-20"

Year,State,Any financial aid,"Grants or scholarships from the federal government, state/local government, or the institution",Federal grants,Pell grants,Other federal grants,State/local government grants or scholarships ,Institutional grants or scholarships ,Loans to students,Federal loans,Other loans
2020,Nevada,"16,042","15,225","12,601","8,819","9,355","8,792","6,059","6,345","6,284",385
2020,New Hampshire,"11,063","10,451","6,807","4,353","4,870","1,167","7,947","8,457","7,964","2,134"
2020,New Jersey,"53,174","47,177","35,171","31,006","17,254","19,859","24,618","29,292","28,605","4,764"
2020,New Mexico,"13,236","12,933","8,714","8,113","3,295","8,327","6,524","4,766","4,721",230
2020,New York,"163,592","155,895","108,688","90,261","74,856","87,302","91,372","73,694","72,348","10,411"
2020,North Carolina,"61,505","53,646","38,053","33,882","19,373","21,574","34,171","35,319","34,602","5,325"
2020,North Dakota,"7,543","6,691","2,958","2,219","2,376","2,720","5,309","4,665","4,549","1,556"
2020,Ohio,"85,520","79,142","46,006","34,885","29,326","12,925","59,487","52,119","51,271","8,081"
2020,Oklahoma,"29,395","27,567","18,181","14,794","9,527","7,395","18,562","13,369","13,108","1,423"
2020,Oregon,"23,914","21,441","13,187","10,542","8,175","8,488","12,799","11,804","11,556","1,308"
2020,Pennsylvania,"97,286","87,648","56,476","40,609","41,629","28,792","61,885","69,781","68,250","15,738"
2020,Rhode Island,"14,607","13,730","7,809","5,802","5,810","3,156","10,729","8,570","8,352","2,035"
2020,South Carolina,"40,011","39,317","26,897","17,276","19,818","26,457","21,061","19,982","19,341","3,031"
2020,South Dakota,"7,466","6,650","4,379","2,458","3,570","1,720","4,897","5,169","5,093","1,180"
2020,Tennessee,"58,135","56,847","42,141","29,990","30,456","41,128","25,182","21,010","20,576","2,336"
2020,Texas,"183,626","165,827","126,423","112,315","54,682","56,125","79,755","89,804","88,002","8,941"
2020,Utah,"27,085","24,456","12,341","10,133","6,660","4,826","16,655","9,731","9,497","1,044"
2020,Vermont,"5,745","5,629","2,265","1,445","1,777","1,075","5,433","3,494","3,383","1,043"
2020,Virginia,"53,952","48,094","33,179","24,396","23,065","21,142","33,189","30,113","29,203","4,570"
2020,Washington,"34,267","30,843","17,879","15,248","11,673","13,166","21,534","15,078","14,769","1,515"
2020,West Virginia,"15,244","14,324","8,305","7,627","3,567","6,985","9,413","8,407","8,273","1,244"
2020,Wisconsin,"34,872","29,240","14,483","12,948","8,462","11,911","18,802","21,920","21,552","3,912"
2020,Wyoming,"4,496","4,213","1,751","1,551",870,"2,198","2,927","1,553","1,522",148
2019,Alabama,"38,319","34,688","19,545","19,300","3,994","3,264","23,579","18,217","17,805","1,975"
2019,Alaska,"2,080","1,811",935,927,148,"1,112",815,831,795,70
2019,Arizona,"46,132","43,370","24,625","24,387","7,064","1,941","30,095","22,388","21,939","2,157"
2019,Arkansas,"23,322","21,601","12,826","12,667","2,722","11,016","12,834","11,679","11,530","1,039"
2019,California,"243,431","227,271","146,384","145,326","41,199","155,953","93,294","89,444","87,006","13,373"
2019,Colorado,"36,471","31,633","17,897","17,677","3,219","9,961","19,942","20,317","19,910","2,389"
2019,Connecticut,"26,923","24,446","13,268","13,100","3,665","2,695","18,406","16,640","16,416","2,497"
2019,Delaware,"8,386","7,936","3,722","3,508",844,"2,112","4,771","4,816","4,742",647
2019,District of Columbia,"8,392","7,637","2,985","2,944",894,420,"6,714","4,847","4,699",798
2019,Florida,"152,101","141,028","97,606","96,669","19,797","57,766","56,547","76,422","75,388","8,319"
2019,Georgia,"68,002","64,420","35,445","35,414","5,941","40,502","19,183","34,811","34,249","3,502"
2019,Hawaii,"5,651","4,902","2,767","2,764",474,943,"3,603","1,970","1,929",199
2019,Idaho,"11,009","9,505","4,958","4,939",982,"1,519","7,023","5,614","5,491",401
2019,Illinois,"66,166","60,770","35,771","35,404","10,095","25,014","43,559","34,281","33,680","4,277"
2019,Indiana,"50,056","43,398","21,464","21,263","7,741","16,212","33,928","27,426","26,834","4,860"
2019,Iowa,"28,693","25,324","11,303","11,006","4,249","3,738","20,941","17,998","17,784","3,346"
2019,Kansas,"24,887","22,752","11,093","10,998","2,872","3,304","18,063","13,187","13,037","1,147"
2019,Kentucky,"34,107","33,339","16,953","16,852","4,669","25,229","21,618","16,617","16,374","1,835"
2019,Louisiana,"40,694","38,205","23,228","23,150","3,302","20,584","19,054","23,318","22,944","1,650"
2019,Maine,"9,760","9,221","4,607","4,541","2,346","2,932","7,905","6,579","6,376","1,445"
2019,Maryland,"30,173","25,930","14,594","14,503","3,916","6,716","17,359","16,271","15,936","1,751"
2019,Massachusetts,"55,302","50,157","21,135","20,887","10,757","16,243","42,621","34,892","33,934","7,308"
2019,Michigan,"59,664","52,608","27,381","26,898","8,722","12,096","41,139","34,543","33,895","5,042"
2019,Minnesota,"34,781","29,407","14,150","14,025","4,785","15,641","20,257","21,045","20,675","5,572"
2019,Mississippi,"29,248","28,130","18,479","18,202","3,287","8,183","16,786","12,557","12,316","1,114"
2019,Missouri,"43,177","40,488","20,142","19,801","4,904","19,092","25,941","21,268","20,947","2,717"
2019,Montana,"6,649","5,917","2,653","2,646",712,211,"4,614","3,547","3,504",272
2019,Nebraska,"15,430","13,814","5,954","5,917","1,747","3,131","12,132","8,535","8,411","1,191"
2019,Nevada,"14,710","13,381","8,119","8,068",996,"8,525","5,177","6,309","6,251",308
2019,New Hampshire,"11,387","10,276","4,433","4,406","2,136","1,070","8,248","9,038","8,610","2,182"
2019,New Jersey,"54,030","46,026","32,531","32,462","9,665","19,541","22,787","31,098","30,405","4,807"
2019,New Mexico,"13,612","13,268","8,825","8,718","2,170","8,456","6,737","4,375","4,324",217
2019,New York,"163,669","152,507","93,573","92,980","24,637","87,799","90,567","78,947","77,744","10,672"
2019,North Carolina,"59,900","51,505","33,145","32,841","6,797","22,022","34,634","35,145","34,507","4,760"
2019,North Dakota,"7,533","6,274","2,386","2,379","1,646","2,552","4,554","4,700","4,591","1,444"
2019,Ohio,"85,925","76,903","37,309","36,849","11,920","13,957","59,861","55,316","54,449","7,568"
2019,Oklahoma,"29,080","26,876","15,515","15,136","3,229","7,661","17,886","14,302","14,017","1,288"
2019,Oregon,"23,214","20,724","11,037","10,824","3,309","8,401","12,982","12,778","12,533","1,374"
2019,Pennsylvania,"97,949","84,394","42,411","42,051","15,163","31,232","61,683","72,408","70,884","15,523"
2019,Rhode Island,"13,599","12,512","5,523","5,490","1,874","2,775","10,144","8,592","8,495","1,505"
2019,South Carolina,"40,146","38,822","18,295","18,040","4,133","26,945","20,169","21,047","20,448","2,998"
2019,South Dakota,"7,561","6,058","2,717","2,659","1,228","1,619","4,648","5,579","5,455","1,267"
2019,Tennessee,"63,409","61,413","35,171","34,610","6,596","45,188","23,268","22,238","21,791","2,517"
2019,Texas,"169,902","150,481","104,817","104,496","16,277","56,314","72,163","88,054","86,519","7,902"
2019,Utah,"32,166","28,357","15,456","14,883","5,809","3,375","17,464","15,823","15,611","4,422"
2019,Vermont,"5,997","5,844","1,684","1,679","1,023","1,148","5,607","3,911","3,687","1,089"
2019,Virginia,"52,660","44,888","24,483","24,203","7,026","20,860","31,345","30,728","29,831","4,483"
2019,Washington,"34,052","30,071","15,547","15,274","6,661","11,205","21,527","16,305","15,987","1,567"
2019,West Virginia,"15,043","13,994","7,763","7,692","2,252","6,925","9,634","8,697","8,561","1,222"
2019,Wisconsin,"35,135","29,198","13,563","13,389","6,219","12,644","18,371","23,287","22,946","4,170"
2019,Wyoming,"4,370","4,038","1,440","1,423",384,"2,165","2,924","1,536","1,511",144
2018,Alabama,"39,700","35,660","19,724","19,529","3,693","2,816","24,353","19,125","18,592","1,954"
2018,Alaska,"2,263","2,070","1,034","1,014",108,"1,268",851,926,887,86
2018,Arizona,"49,767","44,796","28,058","27,929","7,661","2,140","27,864","26,068","25,726","2,233"
2018,Arkansas,"23,675","21,868","13,023","12,845","2,505","11,724","12,691","12,085","11,963",832
2018,California,"234,339","219,594","148,710","148,113","38,377","145,143","92,230","93,333","91,169","11,178"
2018,Colorado,"36,220","30,739","17,675","17,486","2,989","10,081","19,167","21,046","20,557","2,159"
2018,Connecticut,"26,540","23,924","13,058","12,969","3,301","2,719","17,719","16,269","16,073","2,345"
2018,Delaware,"8,234","7,680","3,598","3,592",953,"1,719","4,798","4,892","4,831",596
2018,District of Columbia,"8,865","8,008","3,325","3,236",927,447,"6,990","5,396","5,277",704
2018,Florida,"153,140","143,329","102,953","101,866","20,599","57,464","55,971","81,720","80,720","8,651"
2018,Georgia,"66,866","63,369","35,767","35,746","5,288","39,377","17,566","36,173","35,668","3,176"
2018,Hawaii,"5,350","4,805","2,624","2,609",382,912,"3,659","1,884","1,843",225
2018,Idaho,"11,469","9,949","5,521","5,505","1,102","1,305","7,207","5,938","5,853",330
2018,Illinois,"67,404","61,468","36,931","36,622","9,246","24,663","42,662","35,802","35,250","3,996"
2018,Indiana,"48,748","42,322","21,186","20,972","7,152","16,546","31,565","28,266","27,761","4,248"
2018,Iowa,"29,286","26,381","11,555","11,282","4,096","3,453","21,368","18,946","18,711","2,668"
2018,Kansas,"25,520","23,171","11,986","11,899","2,869","2,934","17,694","14,196","14,071",956
2018,Kentucky,"33,002","31,996","16,567","16,482","3,601","23,343","19,456","17,295","17,074","1,638"
2018,Louisiana,"39,185","36,494","22,493","22,398","3,029","19,242","16,125","22,832","22,489","1,575"
2018,Maine,"9,689","9,048","4,565","4,503","2,290","2,703","7,732","6,396","6,321","1,237"
2018,Maryland,"29,969","26,164","15,018","14,959","3,478","6,757","17,404","16,535","16,223","1,713"
2018,Massachusetts,"56,480","50,564","22,693","22,512","11,321","16,581","41,297","36,214","35,379","6,713"
2018,Michigan,"59,557","52,135","27,850","27,492","8,582","12,261","39,691","35,606","34,948","4,779"
2018,Minnesota,"34,929","29,336","14,303","14,214","4,710","15,249","20,204","21,610","21,169","5,183"
2018,Mississippi,"28,899","27,717","18,469","18,237","3,836","7,663","16,520","13,474","13,245","1,123"
2018,Missouri,"43,917","41,117","20,529","20,052","4,311","18,768","25,755","21,775","21,484","2,481"
2018,Montana,"7,004","6,128","2,849","2,839",782,176,"4,528","3,965","3,935",212
2018,Nebraska,"15,025","13,106","5,918","5,865","1,693","3,070","11,203","8,612","8,541",794
2018,Nevada,"15,241","13,662","8,718","8,669",920,"7,845","5,115","7,290","7,255",381
2018,New Hampshire,"10,969","9,782","4,361","4,345","2,089",848,"7,883","8,859","8,519","1,942"
2018,New Jersey,"52,820","45,232","32,423","32,342","8,733","17,578","21,733","30,440","29,736","4,635"
2018,New Mexico,"15,175","14,612","9,638","9,431","2,852","9,322","6,569","6,123","6,064",224
2018,New York,"164,067","152,424","95,433","94,813","24,199","89,321","87,223","81,188","79,758","10,276"
2018,North Carolina,"61,011","52,362","34,954","34,695","6,366","22,415","34,637","37,194","36,591","4,686"
2018,North Dakota,"7,963","6,306","2,502","2,498","1,770","2,650","4,463","5,295","5,152","1,741"
2018,Ohio,"85,860","76,426","38,266","37,467","10,440","15,435","58,342","55,367","54,664","6,758"
2018,Oklahoma,"30,380","28,038","16,436","16,029","3,442","7,235","17,782","14,830","14,700","1,144"
2018,Oregon,"22,523","20,157","10,727","10,642","2,901","7,806","12,805","12,694","12,459","1,336"
2018,Pennsylvania,"100,581","85,510","44,561","44,156","14,762","31,916","61,051","75,503","74,212","14,753"
2018,Rhode Island,"13,435","12,341","5,350","5,348","2,087","2,107","10,348","9,442","9,278","1,451"
2018,South Carolina,"39,613","37,751","18,358","18,183","3,257","25,870","17,880","21,521","21,095","2,483"
2018,South Dakota,"7,704","6,309","2,837","2,771","1,278","1,603","4,664","5,760","5,698","1,136"
2018,Tennessee,"63,965","61,474","35,753","35,304","6,648","45,273","22,423","24,342","23,964","2,630"
2018,Texas,"166,802","146,371","103,650","102,984","15,735","53,075","70,711","89,677","88,206","8,336"
2018,Utah,"25,736","22,692","11,424","10,941","2,871","3,197","15,912","10,492","10,229","2,275"
2018,Vermont,"6,345","6,169","1,833","1,808","1,186","1,255","5,925","4,102","4,045","1,025"
2018,Virginia,"51,930","43,677","23,920","23,679","6,524","20,491","29,081","30,549","29,854","3,927"
2018,Washington,"35,037","30,304","16,546","16,353","6,444","11,175","20,811","17,609","17,322","1,480"
2018,West Virginia,"15,687","14,433","8,261","8,200","2,276","7,133","9,302","9,685","9,553","1,315"
2018,Wisconsin,"35,345","29,086","14,082","13,924","6,024","12,487","17,578","23,751","23,483","3,682"
2018,Wyoming,"4,345","3,968","1,499","1,487",233,"2,199","2,677","1,796","1,776",119
2017,Alabama,"40,875","36,642","20,742","20,422","3,690","2,949","23,287","20,567","19,969","1,858"
2017,Alaska,"2,265","2,028","1,042","1,030",117,"1,234",872,"1,000",961,82
2017,Arizona,"50,901","45,530","29,431","29,135","6,273","1,414","27,701","29,300","28,808","2,692"
2017,Arkansas,"23,760","22,070","13,151","12,936","2,535","11,642","12,040","12,293","12,150",824
2017,California,"232,372","216,111","147,709","146,854","38,638","136,277","88,126","98,166","96,117","9,995"
2017,Colorado,"33,622","27,986","15,572","15,439","3,134","8,977","18,089","20,056","19,538","2,023"
2017,Connecticut,"26,164","23,149","12,804","12,677","3,439","2,921","16,146","16,335","16,068","2,344"
2017,Delaware,"8,055","7,455","3,532","3,520",805,"1,934","4,270","4,538","4,434",611
2017,District of Columbia,"7,569","6,919","3,265","3,150",803,427,"5,305","5,056","4,984",707
2017,Florida,"178,339","164,363","124,856","123,855","21,644","46,358","60,951","109,423","108,379","11,394"
2017,Georgia,"66,602","62,606","35,569","35,521","5,946","38,904","17,202","37,560","36,987","3,145"
2017,Hawaii,"5,151","4,620","2,560","2,559",401,448,"3,496","1,847","1,808",155
2017,Idaho,"10,793","9,596","5,044","5,034","1,020","1,155","7,256","5,764","5,481",489
2017,Illinois,"67,682","61,120","35,925","35,672","8,820","23,171","42,447","38,207","37,661","4,284"
2017,Indiana,"48,997","41,553","21,568","21,069","7,602","15,101","30,490","30,059","29,604","4,371"
2017,Iowa,"30,061","26,865","11,795","11,543","3,808","3,617","21,833","19,227","19,027","2,559"
2017,Kansas,"24,908","22,483","11,289","11,169","3,056","2,796","17,185","13,933","13,763",932
2017,Kentucky,"32,682","31,454","15,736","15,611","3,780","23,061","18,196","17,449","17,235","1,626"
2017,Louisiana,"39,938","37,274","23,225","23,102","2,879","19,249","15,657","25,206","24,818","1,676"
2017,Maine,"9,582","8,788","4,325","4,273","2,214","2,747","7,431","6,498","6,405","1,196"
2017,Maryland,"30,472","25,844","15,978","15,831","3,893","6,659","15,555","18,222","17,890","1,767"
2017,Massachusetts,"57,044","50,719","22,512","22,416","10,542","15,780","40,466","37,962","37,122","6,499"
2017,Michigan,"61,647","54,525","29,227","28,665","8,720","15,367","40,598","37,745","37,111","4,326"
2017,Minnesota,"34,756","28,963","13,808","13,718","4,492","14,800","19,538","22,338","21,957","5,136"
2017,Mississippi,"29,247","28,009","18,273","17,940","3,801","7,558","16,228","13,177","13,048","1,076"
2017,Missouri,"43,920","41,045","20,601","20,375","4,614","18,531","25,179","23,046","22,797","2,264"
2017,Montana,"6,942","5,998","2,781","2,774",839,883,"4,350","4,052","4,008",235
2017,Nebraska,"15,133","12,837","5,904","5,850","1,538","2,801","10,786","8,880","8,809",751
2017,Nevada,"14,529","13,011","8,576","8,476","1,277","6,777","4,320","7,806","7,711",417
2017,New Hampshire,"11,138","9,754","4,273","4,265","2,085","1,024","7,803","8,998","8,668","2,076"
2017,New Jersey,"51,908","43,893","31,886","31,796","8,819","17,195","20,492","30,618","30,017","4,378"
2017,New Mexico,"15,772","15,209","10,085","10,009","2,197","9,347","6,969","5,962","5,863",247
2017,New York,"159,442","147,404","91,033","90,382","22,339","86,855","83,249","83,783","82,311","10,311"
2017,North Carolina,"59,954","51,239","34,220","33,778","6,112","21,611","34,080","36,492","35,790","4,265"
2017,North Dakota,"7,808","6,266","2,363","2,326","1,611","2,600","4,563","5,076","4,944","1,626"
2017,Ohio,"87,528","76,890","38,899","38,332","10,869","14,129","57,261","59,136","58,631","6,627"
2017,Oklahoma,"30,811","28,285","16,223","15,694","3,177","8,152","18,125","15,005","14,811","1,040"
2017,Oregon,"22,021","19,766","10,109","10,006","2,916","7,648","12,218","12,627","12,461","1,153"
2017,Pennsylvania,"103,406","87,224","45,432","44,916","15,515","32,447","59,614","77,907","76,529","14,145"
2017,Rhode Island,"13,029","11,650","5,022","5,010","2,344","1,519","9,668","9,674","9,578","1,602"
2017,South Carolina,"38,551","36,933","17,749","17,650","3,402","25,281","17,627","21,137","20,779","2,175"
2017,South Dakota,"7,389","5,894","2,528","2,469","1,174","1,581","4,525","5,531","5,470","1,079"
2017,Tennessee,"62,738","60,405","34,775","34,269","6,697","43,034","20,836","24,833","24,435","1,859"
2017,Texas,"167,522","145,759","104,309","103,701","17,872","50,624","68,538","94,437","92,430","8,728"
2017,Utah,"23,437","20,567","9,624","9,286","1,827","2,625","14,670","9,017","8,818",946
2017,Vermont,"6,494","6,305","1,854","1,828","1,166","1,355","6,025","4,315","4,240",994
2017,Virginia,"52,080","43,501","24,494","24,241","6,514","20,263","27,547","31,398","30,656","3,817"
2017,Washington,"34,440","29,388","15,725","15,440","6,073","10,526","19,943","18,045","17,709","1,354"
2017,West Virginia,"16,283","14,655","8,724","8,638","2,402","7,414","8,765","9,780","9,654","1,204"
2017,Wisconsin,"35,154","28,925","13,437","13,297","5,897","12,432","16,579","24,329","23,858","3,850"
2017,Wyoming,"4,179","3,871","1,432","1,413",335,"1,959","2,706","1,653","1,634",114
2016,Alabama,"39,317","35,601","20,943","20,476","3,945","2,845","22,557","19,631","19,108","1,885"
2016,Alaska,"2,290","2,062","1,045","1,010",161,"1,177",841,997,967,59
2016,Arizona,"54,370","48,740","31,928","31,800","8,571","1,879","30,065","31,953","31,560","2,968"
2016,Arkansas,"24,420","22,879","13,642","13,459","2,372","12,857","11,661","12,333","12,173",772
2016,California,"231,281","217,688","151,144","150,274","39,939","136,163","87,212","96,590","94,995","9,218"
2016,Colorado,"32,052","26,712","15,285","15,176","3,095","8,580","16,778","20,190","19,692","1,896"
2016,Connecticut,"26,338","23,458","13,240","13,048","3,464","3,917","16,075","16,644","16,388","2,344"
2016,Delaware,"8,208","7,587","3,578","3,573","1,043","1,886","4,556","4,871","4,796",534
2016,District of Columbia,"8,662","7,813","3,533","3,482",879,450,"6,171","5,521","5,442",817
2016,Florida,"152,352","140,391","103,811","102,602","17,753","50,590","54,182","84,125","82,300","9,982"
2016,Georgia,"65,408","60,823","36,061","35,879","5,551","38,892","15,414","36,910","36,445","2,565"
2016,Hawaii,"5,032","4,547","2,767","2,760",365,529,"3,321","1,948","1,935",155
2016,Idaho,"9,458","8,253","4,928","4,922","1,124",524,"5,461","5,661","5,411",445
2016,Illinois,"69,950","62,560","37,884","37,675","8,630","21,367","42,479","39,951","39,354","4,578"
2016,Indiana,"50,253","42,534","23,177","22,990","7,903","15,628","29,717","30,756","30,362","3,657"
2016,Iowa,"30,132","26,849","11,965","11,710","3,826","3,751","21,504","19,601","19,379","2,657"
2016,Kansas,"24,869","22,694","11,852","11,612","3,067","2,787","16,624","14,173","14,039","1,208"
2016,Kentucky,"33,159","31,974","16,122","15,954","3,664","23,072","17,811","17,347","17,164","1,459"
2016,Louisiana,"40,371","37,708","23,155","22,984","3,206","20,392","14,605","23,220","22,858","1,670"
2016,Maine,"9,371","8,522","4,675","4,624","2,368","3,055","6,763","6,585","6,503","1,107"
2016,Maryland,"30,708","26,149","16,505","16,439","4,117","5,738","15,323","18,672","18,413","1,581"
2016,Massachusetts,"58,057","51,633","23,482","23,355","10,736","19,399","39,314","38,676","37,459","6,401"
2016,Michigan,"61,431","54,042","30,282","29,928","9,089","12,638","39,723","37,963","37,472","4,053"
2016,Minnesota,"34,169","28,146","13,849","13,712","4,309","13,931","18,919","22,474","22,027","5,302"
2016,Mississippi,"27,974","26,954","17,908","17,576","3,391","7,237","15,281","12,545","12,359",808
2016,Missouri,"45,242","42,161","21,736","21,482","4,822","18,936","25,766","24,427","24,191","2,254"
2016,Montana,"6,967","6,140","2,917","2,915",815,877,"4,482","4,015","3,977",198
2016,Nebraska,"14,482","12,617","5,925","5,894","1,595","2,841","10,326","8,817","8,705",643
2016,Nevada,"14,814","13,624","8,794","8,678","1,440","6,572","4,925","8,186","8,102",517
2016,New Hampshire,"11,401","9,752","4,627","4,619","2,220",961,"7,564","9,414","9,023","2,088"
2016,New Jersey,"52,733","44,399","32,652","32,600","8,491","17,288","19,152","31,103","30,358","4,313"
2016,New Mexico,"15,505","14,842","9,877","9,761","1,834","8,923","6,436","6,094","5,968",235
2016,New York,"164,276","149,511","93,652","92,841","23,891","90,255","82,223","85,228","83,588","10,260"
2016,North Carolina,"57,810","49,632","33,493","33,210","5,829","21,078","31,612","34,532","34,063","3,050"
2016,North Dakota,"7,705","6,095","2,255","2,237","1,608","2,649","4,260","5,022","4,852","1,567"
2016,Ohio,"87,101","76,989","38,987","38,547","10,279","14,071","56,038","58,225","57,649","6,771"
2016,Oklahoma,"32,136","29,337","17,143","16,860","3,450","8,192","18,096","15,368","15,211","1,274"
2016,Oregon,"21,187","18,454","9,999","9,908","2,939","4,865","12,882","13,096","12,953",985
2016,Pennsylvania,"105,922","89,470","47,930","47,492","16,413","33,011","59,411","81,024","79,679","13,400"
2016,Rhode Island,"12,739","11,309","5,123","5,081","1,888","1,475","9,035","9,541","9,453","1,475"
2016,South Carolina,"37,708","36,192","17,733","17,597","3,372","24,699","16,699","20,986","20,680","2,008"
2016,South Dakota,"7,285","5,863","2,677","2,620","1,147","1,575","4,453","5,383","5,325",968
2016,Tennessee,"61,232","59,099","34,661","34,179","6,787","41,149","20,420","23,190","22,865","1,379"
2016,Texas,"164,837","143,646","103,388","102,905","19,566","48,954","70,952","92,633","90,980","8,207"
2016,Utah,"22,767","19,800","9,175","8,986","2,023","3,443","14,260","8,878","8,718","1,221"
2016,Vermont,"6,110","5,879","1,765","1,738","1,081","1,221","5,568","4,115","4,011",936
2016,Virginia,"51,803","43,160","24,415","24,083","6,409","19,193","27,896","30,985","30,317","3,880"
2016,Washington,"34,277","29,256","16,015","15,839","6,062","10,424","19,793","18,318","18,007","1,430"
2016,West Virginia,"16,029","14,451","8,534","8,448","2,199","6,991","8,572","9,694","9,592","1,046"
2016,Wisconsin,"36,042","28,746","13,693","13,525","5,585","12,299","15,905","25,064","24,527","4,006"
2016,Wyoming,"4,236","3,886","1,439","1,402",315,"1,951","2,743","1,587","1,561",121
2015,Alabama,"39,914","36,051","22,293","22,097","3,971","2,972","22,111","20,243","19,870","1,582"
2015,Alaska,"2,978","2,620","1,545","1,445",324,"1,311","1,296","1,391","1,371",62
2015,Arizona,"60,185","53,350","38,324","38,204","8,466","1,603","27,394","39,145","38,755","2,779"
2015,Arkansas,"25,018","23,653","14,708","14,555","2,077","12,967","12,274","13,058","12,955",590
2015,California,"239,508","227,562","160,361","159,314","39,026","141,494","87,058","101,929","100,230","10,788"
2015,Colorado,"32,194","26,565","16,270","16,071","2,741","8,348","15,136","20,895","20,514","1,717"
2015,Connecticut,"26,593","23,710","13,610","13,491","3,522","4,919","16,128","16,954","16,745","2,099"
2015,Delaware,"8,550","7,818","3,844","3,839",927,"1,752","4,551","5,199","5,113",741
2015,District of Columbia,"8,595","7,940","3,672","3,606",676,"1,184","6,357","6,080","6,040",873
2015,Florida,"149,914","136,861","101,585","100,218","18,288","48,012","48,620","74,273","72,173","8,207"
2015,Georgia,"65,215","60,714","36,622","36,499","5,530","38,104","15,443","36,918","36,394","2,587"
2015,Hawaii,"5,371","4,801","3,115","3,107",338,610,"3,360","2,238","2,215",145
2015,Idaho,"9,502","8,263","5,168","5,152","1,081",799,"5,207","5,709","5,670",238
2015,Illinois,"75,056","67,782","42,309","41,946","9,338","24,258","44,156","46,633","46,108","4,413"
2015,Indiana,"51,260","43,011","25,430","25,253","7,793","15,537","27,397","33,184","32,855","3,449"
2015,Iowa,"30,112","26,744","12,595","12,140","4,204","4,761","20,302","20,048","19,846","2,429"
2015,Kansas,"27,180","24,853","14,138","13,865","3,242","3,055","17,158","16,296","16,196",861
2015,Kentucky,"34,690","33,472","17,992","17,930","3,902","23,121","17,565","19,107","18,933","1,378"
2015,Louisiana,"40,039","37,871","23,572","23,427","2,867","19,063","14,186","22,138","21,931","1,446"
2015,Maine,"9,263","8,513","4,771","4,703","2,313","3,289","6,619","6,708","6,637","1,031"
2015,Maryland,"30,938","26,435","16,788","16,658","4,089","6,565","14,892","18,520","18,326","1,359"
2015,Massachusetts,"59,761","53,316","25,594","25,422","10,606","20,401","38,709","40,316","39,549","6,011"
2015,Michigan,"64,253","56,406","33,503","33,222","9,197","13,630","39,738","40,968","40,486","3,614"
