National Center for Education Statistics
"Number of students enrolled in postsecondary institutions annually, by state and  student level: 2020-21"

Year,State,Total,Undergraduate,Graduate
2019,Texas,"2,213,882","1,975,074","238,808"
2019,Utah,"495,823","423,788","72,035"
2019,Vermont,"56,968","46,603","10,365"
2019,Virginia,"717,069","582,067","135,002"
2019,Washington,"504,420","460,045","44,375"
2019,West Virginia,"204,272","171,677","32,595"
2019,Wisconsin,"424,908","377,622","47,286"
2019,Wyoming,"42,962","40,112","2,850"
2018,Total,"26,421,008","22,571,892","3,849,116"
2018,Alabama,"388,078","325,300","62,778"
2018,Alaska,"44,871","41,684","3,187"
2018,Arizona,"853,834","708,301","145,533"
2018,Arkansas,"207,434","178,530","28,904"
2018,California,"3,727,425","3,364,512","362,913"
2018,Colorado,"499,270","417,300","81,970"
2018,Connecticut,"259,589","214,007","45,582"
2018,Delaware,"75,185","60,760","14,425"
2018,District of Columbia,"115,421","60,818","54,603"
2018,Florida,"1,515,775","1,356,460","159,315"
2018,Georgia,"686,515","590,519","95,996"
2018,Hawaii,"82,720","74,946","7,774"
2018,Idaho,"197,271","184,413","12,858"
2018,Illinois,"1,098,893","904,638","194,255"
2018,Indiana,"539,367","465,098","74,269"
2018,Iowa,"346,318","298,007","48,311"
2018,Kansas,"293,809","255,638","38,171"
2018,Kentucky,"329,128","270,084","59,044"
2018,Louisiana,"311,493","272,667","38,826"
2018,Maine,"94,939","81,989","12,950"
2018,Maryland,"480,724","388,269","92,455"
2018,Massachusetts,"636,368","453,430","182,938"
2018,Michigan,"712,084","612,376","99,708"
2018,Minnesota,"565,061","396,281","168,780"
2018,Mississippi,"218,782","192,566","26,216"
2018,Missouri,"487,981","391,321","96,660"
2018,Montana,"63,104","56,246","6,858"
2018,Nebraska,"177,617","143,625","33,992"
2018,Nevada,"158,790","144,445","14,345"
2018,New Hampshire,"216,844","170,745","46,099"
2018,New Jersey,"557,379","480,269","77,110"
2018,New Mexico,"177,280","159,402","17,878"
2018,New York,"1,620,543","1,333,401","287,142"
2018,North Carolina,"711,066","623,828","87,238"
2018,North Dakota,"66,481","57,140","9,341"
2018,Ohio,"853,591","739,706","113,885"
2018,Oklahoma,"282,074","251,252","30,822"
2018,Oregon,"340,786","297,576","43,210"
2018,Pennsylvania,"886,115","705,094","181,021"
2018,Rhode Island,"98,988","85,256","13,732"
2018,South Carolina,"307,410","269,985","37,425"
2018,South Dakota,"78,029","67,429","10,600"
2018,Tennessee,"412,829","355,294","57,535"
2018,Texas,"2,209,873","1,970,582","239,291"
2018,Utah,"467,291","403,526","63,765"
2018,Vermont,"59,795","48,812","10,983"
2018,Virginia,"713,755","586,087","127,668"
2018,Washington,"507,922","464,216","43,706"
2018,West Virginia,"207,888","173,990","33,898"
2018,Wisconsin,"433,332","383,190","50,142"
2018,Wyoming,"43,891","40,882","3,009"
2017,Total,"26,706,865","22,876,346","3,830,519"
2017,Alabama,"395,227","333,465","61,762"
2017,Alaska,"46,469","43,110","3,359"
2017,Arizona,"881,511","736,807","144,704"
2017,Arkansas,"211,649","182,638","29,011"
2017,California,"3,712,781","3,363,682","349,099"
2017,Colorado,"503,069","417,745","85,324"
2017,Connecticut,"265,250","219,882","45,368"
2017,Delaware,"77,072","61,751","15,321"
2017,District of Columbia,"112,551","59,305","53,246"
2017,Florida,"1,530,331","1,368,124","162,207"
2017,Georgia,"688,009","593,459","94,550"
2017,Hawaii,"85,481","76,616","8,865"
2017,Idaho,"183,178","170,611","12,567"
2017,Illinois,"1,147,389","953,264","194,125"
2017,Indiana,"568,752","494,613","74,139"
2017,Iowa,"357,794","308,044","49,750"
2017,Kansas,"298,060","259,410","38,650"
2017,Kentucky,"322,909","273,289","49,620"
2017,Louisiana,"315,030","279,063","35,967"
2017,Maine,"96,156","83,079","13,077"
2017,Maryland,"487,585","397,276","90,309"
2017,Massachusetts,"644,546","461,862","182,684"
2017,Michigan,"738,978","637,177","101,801"
2017,Minnesota,"576,163","403,995","172,168"
2017,Mississippi,"222,560","194,679","27,881"
2017,Missouri,"514,318","414,487","99,831"
2017,Montana,"63,639","56,911","6,728"
2017,Nebraska,"179,600","145,619","33,981"
2017,Nevada,"156,818","141,713","15,105"
2017,New Hampshire,"199,677","156,625","43,052"
2017,New Jersey,"561,148","483,785","77,363"
2017,New Mexico,"184,786","166,236","18,550"
2017,New York,"1,635,632","1,351,252","284,380"
2017,North Carolina,"717,850","632,613","85,237"
2017,North Dakota,"66,915","57,578","9,337"
2017,Ohio,"863,540","746,783","116,757"
2017,Oklahoma,"287,012","255,303","31,709"
2017,Oregon,"344,506","299,404","45,102"
2017,Pennsylvania,"913,579","733,675","179,904"
2017,Rhode Island,"99,763","86,785","12,978"
2017,South Carolina,"309,846","273,306","36,540"
2017,South Dakota,"71,640","61,148","10,492"
2017,Tennessee,"416,478","359,328","57,150"
2017,Texas,"2,216,340","1,975,961","240,379"
2017,Utah,"438,270","382,283","55,987"
2017,Vermont,"60,546","49,384","11,162"
2017,Virginia,"725,281","598,388","126,893"
2017,Washington,"511,486","467,574","43,912"
2017,West Virginia,"213,934","178,503","35,431"
2017,Wisconsin,"441,469","387,565","53,904"
2017,Wyoming,"44,292","41,191","3,101"
2016,Total,"26,953,976","23,136,802","3,817,174"
2016,Alabama,"393,837","334,917","58,920"
2016,Alaska,"49,956","46,466","3,490"
2016,Arizona,"919,541","774,086","145,455"
2016,Arkansas,"214,807","186,739","28,068"
2016,California,"3,697,324","3,351,230","346,094"
2016,Colorado,"500,426","416,261","84,165"
2016,Connecticut,"269,832","223,809","46,023"
2016,Delaware,"77,287","61,513","15,774"
2016,District of Columbia,"112,770","60,425","52,345"
2016,Florida,"1,536,296","1,375,201","161,095"
2016,Georgia,"685,088","593,685","91,403"
2016,Hawaii,"89,391","79,858","9,533"
2016,Idaho,"172,582","159,915","12,667"
2016,Illinois,"1,208,471","1,014,273","194,198"
2016,Indiana,"576,057","502,817","73,240"
2016,Iowa,"368,193","317,502","50,691"
2016,Kansas,"305,281","265,833","39,448"
2016,Kentucky,"318,014","271,825","46,189"
2016,Louisiana,"324,671","287,757","36,914"
2016,Maine,"96,002","83,171","12,831"
2016,Maryland,"486,059","396,548","89,511"
2016,Massachusetts,"653,650","469,361","184,289"
2016,Michigan,"773,080","668,332","104,748"
2016,Minnesota,"578,217","405,973","172,244"
2016,Mississippi,"222,444","194,677","27,767"
2016,Missouri,"531,304","429,311","101,993"
2016,Montana,"63,673","57,465","6,208"
2016,Nebraska,"183,314","148,970","34,344"
2016,Nevada,"157,763","142,559","15,204"
2016,New Hampshire,"179,414","138,310","41,104"
2016,New Jersey,"566,190","487,511","78,679"
2016,New Mexico,"189,522","170,494","19,028"
2016,New York,"1,664,283","1,381,985","282,298"
2016,North Carolina,"724,653","639,957","84,696"
2016,North Dakota,"67,044","57,762","9,282"
2016,Ohio,"886,978","769,321","117,657"
2016,Oklahoma,"293,241","261,578","31,663"
2016,Oregon,"355,961","307,722","48,239"
2016,Pennsylvania,"927,850","752,199","175,651"
2016,Rhode Island,"99,691","87,248","12,443"
2016,South Carolina,"316,139","277,298","38,841"
2016,South Dakota,"70,806","60,798","10,008"
2016,Tennessee,"421,830","364,915","56,915"
2016,Texas,"2,182,573","1,944,488","238,085"
2016,Utah,"416,256","367,649","48,607"
2016,Vermont,"57,889","47,365","10,524"
2016,Virginia,"747,006","617,774","129,232"
2016,Washington,"505,661","462,019","43,642"
2016,West Virginia,"225,508","188,811","36,697"
2016,Wisconsin,"444,017","387,990","56,027"
2016,Wyoming,"46,134","43,129","3,005"
2015,Total,"27,410,085","23,620,218","3,789,867"
2015,Alabama,"397,074","338,757","58,317"
2015,Alaska,"56,017","52,305","3,712"
2015,Arizona,"996,090","830,013","166,077"
2015,Arkansas,"219,516","193,060","26,456"
2015,California,"3,670,050","3,340,699","329,351"
2015,Colorado,"505,367","422,179","83,188"
2015,Connecticut,"273,720","229,014","44,706"
2015,Delaware,"78,656","62,812","15,844"
2015,District of Columbia,"108,492","58,803","49,689"
2015,Florida,"1,583,126","1,417,700","165,426"
2015,Georgia,"694,186","604,225","89,961"
2015,Hawaii,"92,467","82,441","10,026"
2015,Idaho,"152,158","139,346","12,812"
2015,Illinois,"1,248,590","1,056,027","192,563"
2015,Indiana,"601,887","531,378","70,509"
2015,Iowa,"381,101","329,389","51,712"
2015,Kansas,"318,080","277,530","40,550"
2015,Kentucky,"332,888","288,618","44,270"
2015,Louisiana,"330,806","294,305","36,501"
2015,Maine,"96,079","82,968","13,111"
2015,Maryland,"487,014","399,960","87,054"
2015,Massachusetts,"656,899","478,955","177,944"
2015,Michigan,"809,356","703,084","106,272"
2015,Minnesota,"591,600","422,548","169,052"
2015,Mississippi,"223,358","195,746","27,612"
2015,Missouri,"548,925","447,516","101,409"
2015,Montana,"64,998","59,006","5,992"
2015,Nebraska,"187,984","154,660","33,324"
2015,Nevada,"162,804","148,728","14,076"
2015,New Hampshire,"155,280","120,671","34,609"
2015,New Jersey,"576,771","499,215","77,556"
2015,New Mexico,"199,004","179,602","19,402"
2015,New York,"1,701,542","1,417,673","283,869"
2015,North Carolina,"743,961","659,023","84,938"
2015,North Dakota,"69,419","58,713","10,706"
2015,Ohio,"911,863","794,006","117,857"
2015,Oklahoma,"300,248","268,009","32,239"
2015,Oregon,"357,385","306,643","50,742"
2015,Pennsylvania,"953,089","780,530","172,559"
2015,Rhode Island,"100,472","88,360","12,112"
2015,South Carolina,"326,112","288,339","37,773"
2015,South Dakota,"76,204","62,779","13,425"
2015,Tennessee,"428,667","371,969","56,698"
2015,Texas,"2,157,684","1,925,068","232,616"
2015,Utah,"396,318","352,487","43,831"
2015,Vermont,"58,640","48,196","10,444"
2015,Virginia,"769,281","639,152","130,129"
2015,Washington,"512,598","469,169","43,429"
2015,West Virginia,"234,195","196,390","37,805"
2015,Wisconsin,"463,782","407,298","56,484"
2015,Wyoming,"48,282","45,154","3,128"
2014,Total,"27,835,916","24,060,103","3,775,813"
2014,Alabama,"404,178","345,802","58,376"
2014,Alaska,"55,691","51,654","4,037"
2014,Arizona,"1,026,351","859,786","166,565"
2014,Arkansas,"224,149","198,389","25,760"
2014,California,"3,699,996","3,369,358","330,638"
2014,Colorado,"515,640","431,934","83,706"
2014,Connecticut,"275,955","232,774","43,181"
2014,Delaware,"76,399","61,134","15,265"
2014,District of Columbia,"111,171","61,060","50,111"
2014,Florida,"1,622,208","1,455,463","166,745"
2014,Georgia,"708,801","623,078","85,723"
2014,Hawaii,"98,670","88,302","10,368"
2014,Idaho,"156,665","143,018","13,647"
2014,Illinois,"1,302,730","1,108,585","194,145"
2014,Indiana,"609,508","541,165","68,343"
2014,Iowa,"388,706","336,338","52,368"
2014,Kansas,"324,302","284,324","39,978"
2014,Kentucky,"344,374","300,167","44,207"
2014,Louisiana,"334,686","297,626","37,060"
2014,Maine,"97,767","84,721","13,046"
2014,Maryland,"489,251","401,222","88,029"
2014,Massachusetts,"664,647","487,233","177,414"
2014,Michigan,"846,366","738,129","108,237"
2014,Minnesota,"596,674","431,480","165,194"
2014,Mississippi,"224,780","197,031","27,749"
2014,Missouri,"564,674","463,842","100,832"
2014,Montana,"66,590","60,003","6,587"
2014,Nebraska,"196,925","164,298","32,627"
2014,Nevada,"165,450","151,693","13,757"
2014,New Hampshire,"139,512","108,232","31,280"
2014,New Jersey,"589,199","513,469","75,730"
2014,New Mexico,"210,075","190,307","19,768"
2014,New York,"1,703,497","1,418,887","284,610"
2014,North Carolina,"753,577","667,544","86,033"
2014,North Dakota,"71,302","59,144","12,158"
2014,Ohio,"937,346","818,341","119,005"
2014,Oklahoma,"309,393","276,782","32,611"
2014,Oregon,"366,836","318,356","48,480"
2014,Pennsylvania,"974,426","802,875","171,551"
2014,Rhode Island,"101,082","88,834","12,248"
2014,South Carolina,"333,817","294,250","39,567"
2014,South Dakota,"73,112","62,874","10,238"
2014,Tennessee,"440,813","382,081","58,732"
2014,Texas,"2,137,284","1,911,961","225,323"
2014,Utah,"380,005","339,641","40,364"
2014,Vermont,"58,326","47,952","10,374"
2014,Virginia,"783,037","653,021","130,016"
2014,Washington,"513,447","470,462","42,985"
2014,West Virginia,"241,205","201,522","39,683"
2014,Wisconsin,"474,718","416,506","58,212"
2014,Wyoming,"50,603","47,453","3,150"
2013,Total,"28,300,104","24,519,413","3,780,691"
2013,Alabama,"411,484","352,027","59,457"
2013,Alaska,"56,900","52,867","4,033"
2013,Arizona,"1,093,714","927,283","166,431"
2013,Arkansas,"230,832","204,722","26,110"
2013,California,"3,559,438","3,245,311","314,127"
2013,Colorado,"521,207","439,757","81,450"
2013,Connecticut,"279,228","236,500","42,728"
2013,Delaware,"76,836","62,728","14,108"
2013,District of Columbia,"109,723","59,670","50,053"
2013,Florida,"1,662,956","1,493,543","169,413"
2013,Georgia,"724,895","640,180","84,715"
2013,Hawaii,"100,853","89,950","10,903"
2013,Idaho,"153,975","140,185","13,790"
2013,Illinois,"1,351,608","1,150,300","201,308"
2013,Indiana,"612,522","544,411","68,111"
2013,Iowa,"532,796","465,072","67,724"
2013,Kansas,"313,173","275,341","37,832"
2013,Kentucky,"363,003","317,327","45,676"
2013,Louisiana,"341,912","303,070","38,842"
2013,Maine,"97,771","85,355","12,416"
2013,Maryland,"503,780","413,374","90,406"
2013,Massachusetts,"665,060","487,892","177,168"
2013,Michigan,"889,954","777,068","112,886"
2013,Minnesota,"610,383","445,432","164,951"
2013,Mississippi,"229,000","201,237","27,763"
2013,Missouri,"595,492","492,807","102,685"
2013,Montana,"67,765","60,881","6,884"
2013,Nebraska,"202,270","170,433","31,837"
2013,Nevada,"166,501","152,163","14,338"
2013,New Hampshire,"115,650","91,220","24,430"
2013,New Jersey,"591,656","522,664","68,992"
2013,New Mexico,"215,000","194,805","20,195"
2013,New York,"1,716,887","1,428,762","288,125"
2013,North Carolina,"759,197","672,113","87,084"
2013,North Dakota,"69,988","59,817","10,171"
2013,Ohio,"953,163","833,131","120,032"
2013,Oklahoma,"323,010","290,055","32,955"
2013,Oregon,"375,581","330,601","44,980"
2013,Pennsylvania,"995,021","821,275","173,746"
2013,Rhode Island,"103,169","90,233","12,936"
2013,South Carolina,"338,108","299,031","39,077"
2013,South Dakota,"74,478","63,844","10,634"
2013,Tennessee,"456,663","396,040","60,623"
2013,Texas,"2,148,993","1,928,462","220,531"
2013,Utah,"380,744","343,990","36,754"
2013,Vermont,"59,867","47,706","12,161"
2013,Virginia,"791,403","660,749","130,654"
2013,Washington,"516,983","474,548","42,435"
2013,West Virginia,"249,953","208,379","41,574"
2013,Wisconsin,"486,975","425,817","61,158"
2013,Wyoming,"52,584","49,285","3,299"
2012,Total,"29,036,155","25,201,166","3,834,989"
2012,Alabama,"425,830","365,123","60,707"
2012,Alaska,"61,426","57,370","4,056"
2012,Arizona,"1,182,603","1,008,314","174,289"
2012,Arkansas,"238,179","211,294","26,885"
2012,California,"3,711,379","3,394,407","316,972"
2012,Colorado,"543,181","458,527","84,654"
2012,Connecticut,"279,831","235,794","44,037"
2012,Delaware,"75,012","62,212","12,800"
2012,District of Columbia,"108,030","59,515","48,515"
2012,Florida,"1,705,735","1,533,155","172,580"
2012,Georgia,"745,891","659,710","86,181"
2012,Hawaii,"102,755","91,422","11,333"
2012,Idaho,"145,395","131,550","13,845"
2012,Illinois,"1,384,102","1,179,179","204,923"
2012,Indiana,"618,987","549,244","69,743"
2012,Iowa,"561,244","494,779","66,465"
2012,Kansas,"306,435","270,473","35,962"
2012,Kentucky,"379,144","333,979","45,165"
2012,Louisiana,"351,939","311,726","40,213"
2012,Maine,"97,200","84,982","12,218"
2012,Maryland,"516,828","424,445","92,383"
2012,Massachusetts,"665,047","489,011","176,036"
2012,Michigan,"918,075","801,199","116,876"
2012,Minnesota,"619,794","453,287","166,507"
2012,Mississippi,"236,771","209,760","27,011"
2012,Missouri,"620,279","516,217","104,062"
2012,Montana,"69,017","62,238","6,779"
2012,Nebraska,"204,448","172,761","31,687"
2012,Nevada,"173,981","157,500","16,481"
2012,New Hampshire,"104,464","83,559","20,905"
2012,New Jersey,"613,056","536,209","76,847"
2012,New Mexico,"219,161","198,556","20,605"
2012,New York,"1,738,483","1,443,922","294,561"
2012,North Carolina,"761,915","678,133","83,782"
2012,North Dakota,"71,616","61,370","10,246"
2012,Ohio,"1,003,624","879,638","123,986"
2012,Oklahoma,"329,251","295,707","33,544"
2012,Oregon,"382,850","338,302","44,548"
2012,Pennsylvania,"1,025,324","844,618","180,706"
2012,Rhode Island,"105,323","92,067","13,256"
2012,South Carolina,"340,364","301,501","38,863"
2012,South Dakota,"74,586","64,086","10,500"
2012,Tennessee,"462,764","403,386","59,378"
2012,Texas,"2,178,086","1,955,591","222,495"
2012,Utah,"376,101","339,193","36,908"
2012,Vermont,"60,320","48,487","11,833"
2012,Virginia,"805,099","674,380","130,719"
2012,Washington,"535,799","491,907","43,892"
2012,West Virginia,"246,483","206,174","40,309"
2012,Wisconsin,"499,514","435,000","64,514"
2012,Wyoming,"53,434","50,207","3,227"
2011,Total,"29,507,367","25,630,903","3,876,464"
2011,Alabama,"433,128","374,145","58,983"
2011,Alaska,"59,899","55,925","3,974"
2011,Arizona,"1,261,725","1,082,257","179,468"
2011,Arkansas,"235,641","209,423","26,218"
2011,California,"3,905,457","3,580,016","325,441"
2011,Colorado,"539,127","454,517","84,610"
2011,Connecticut,"278,341","233,668","44,673"
2011,Delaware,"74,368","61,497","12,871"
2011,District of Columbia,"115,565","66,617","48,948"
2011,Florida,"1,688,911","1,514,005","174,906"
2011,Georgia,"792,222","705,370","86,852"
2011,Hawaii,"102,986","91,301","11,685"
2011,Idaho,"129,596","114,179","15,417"
2011,Illinois,"1,411,000","1,202,467","208,533"
2011,Indiana,"631,304","559,277","72,027"
2011,Iowa,"576,698","507,981","68,717"
2011,Kansas,"311,245","274,246","36,999"
2011,Kentucky,"380,127","336,438","43,689"
2011,Louisiana,"352,077","310,746","41,331"
2011,Maine,"95,258","83,350","11,908"
2011,Maryland,"514,624","421,771","92,853"
2011,Massachusetts,"664,755","489,008","175,747"
2011,Michigan,"945,391","826,167","119,224"
2011,Minnesota,"631,862","463,914","167,948"
2011,Mississippi,"238,334","211,487","26,847"
2011,Missouri,"626,341","520,392","105,949"
2011,Montana,"68,862","61,931","6,931"
2011,Nebraska,"207,227","175,691","31,536"
2011,Nevada,"185,853","167,775","18,078"
2011,New Hampshire,"101,540","82,148","19,392"
2011,New Jersey,"618,232","539,395","78,837"
2011,New Mexico,"225,197","204,339","20,858"
2011,New York,"1,725,299","1,426,391","298,908"
2011,North Carolina,"768,731","684,148","84,583"
2011,North Dakota,"71,012","61,227","9,785"
2011,Ohio,"1,031,348","903,993","127,355"
2011,Oklahoma,"330,731","297,559","33,172"
2011,Oregon,"380,583","334,484","46,099"
2011,Pennsylvania,"1,050,331","867,774","182,557"
2011,Rhode Island,"107,468","93,702","13,766"
2011,South Carolina,"336,949","297,420","39,529"
2011,South Dakota,"74,876","63,532","11,344"
2011,Tennessee,"466,926","405,913","61,013"
2011,Texas,"2,184,169","1,963,003","221,166"
2011,Utah,"357,069","324,562","32,507"
2011,Vermont,"60,254","49,255","10,999"
2011,Virginia,"789,344","663,179","126,165"
2011,Washington,"566,232","521,979","44,253"
2011,West Virginia,"235,400","195,433","39,967"
2011,Wisconsin,"513,712","445,294","68,418"
2011,Wyoming,"54,040","50,612","3,428"
2010,Total,"28,907,440","25,094,930","3,812,510"
2010,Alabama,"422,232","364,253","57,979"
2010,Alaska,"58,796","54,878","3,918"
2010,Arizona,"1,225,962","1,048,171","177,791"
2010,Arkansas,"228,930","205,338","23,592"
2010,California,"3,977,290","3,648,626","328,664"
2010,Colorado,"520,118","435,929","84,189"
2010,Connecticut,"270,708","225,709","44,999"
2010,Delaware,"72,475","59,848","12,627"
2010,District of Columbia,"115,417","66,805","48,612"
2010,Florida,"1,616,453","1,448,168","168,285"
2010,Georgia,"761,563","674,702","86,861"
2010,Hawaii,"100,064","88,023","12,041"
2010,Idaho,"123,366","107,464","15,902"
2010,Illinois,"1,418,311","1,212,084","206,227"
2010,Indiana,"614,397","540,866","73,531"
2010,Iowa,"542,950","478,515","64,435"
2010,Kansas,"305,981","268,981","37,000"
2010,Kentucky,"367,657","324,950","42,707"
2010,Louisiana,"348,391","306,528","41,863"
2010,Maine,"92,778","81,773","11,005"
2010,Maryland,"504,765","413,756","91,009"
2010,Massachusetts,"657,341","484,421","172,920"
2010,Michigan,"945,354","824,397","120,957"
2010,Minnesota,"616,018","453,839","162,179"
2010,Mississippi,"231,929","207,075","24,854"
2010,Missouri,"596,386","491,128","105,258"
2010,Montana,"68,682","61,961","6,721"
2010,Nebraska,"207,487","176,055","31,432"
2010,Nevada,"184,454","166,375","18,079"
2010,New Hampshire,"98,952","80,184","18,768"
2010,New Jersey,"603,645","524,994","78,651"
2010,New Mexico,"216,770","196,479","20,291"
2010,New York,"1,693,635","1,396,081","297,554"
